čovek	čovjek
čoveka	čovjeka
čovekov	čovjekov
čovekove	čovjekove
BELA	BIJELA
Bela	Bijela
Cena	Cijena 
Cenu	Cijenu
DELIMIČNO	DJELIMIČNO
DEO	DIO
Dela	Djela
Delatnost	Djelatnost
Delimična	Djelimična
Delimični	Djelimični
Delimično	Djelimično
Delokrug	Djelokrug
Delovi	Dijelovi
Delu	Djelu
Deo	Dio
Deobe	Diobe
Deobi	Diobi
Deobom	Diobom
Dodele	Dodjele
Izmena	Izmjena
Izmenama	Izmjenama
Izmene	Izmjene
Izveštaj	Izvještaj
Izveštaji	Izvještaji
Izveštavanje	Izvještavanje
LEKU	LIJEKU
Lek	Lijek
Leku	Lijeku
Maloletna	Maloljetna
Mere	Mjere
Mesto	Mjesto
Namera	Namjera
Obaveštava	Obavještava
Obaveštavanje	Obavještavanje
Obaveštenja	Obavještenja
Obeležavanje	Obilježavanje
Obezbeđenja	Obezbjeđenja
Ocenjivanja	Ocjenjivanja
Ocenom	Ocjenom
Odeljak	Odjeljak
Odeljenja	Odjeljenja
Odsek	Odsjek
Odseka	Odsjeka
Ovde	Ovdje
Oštinskog	Opštinskog
POSEDA	POSJEDA
POVERAVAJU	POVJERAVAJU
POVERLjIVO	POVJERLjIVO
PREDLOG	PRIJEDLOG
PREDSEDNIK	PREDSJEDNIK
Posed	Posjed
Posledice	Posljedice
Poverenik	Povjerenik
Poverenika	Povjerenika
Povereniku	Povjereniku
Poverilac	Povjerilac
Poveriočeva	Povjeriočeva
Poverljiva	Povjerljiva
Poverljive	Povjerljive
Poverljivih	Povjerljivih
Poverljivom	Povjerljivom
Poverljivu	Povjerljivu
Predlog	Prijedlog
Predloga	Prijedloga
Predsednica	Predsjednica
Predsednik	Predsjednik
Predsednika	Predsjednika
Premeru	Premjeru
Primena	Primjena
Primenjuje	Primjenjuje
Procenjena	Procijenjena
Promena	Promjena
REŠENjE	RJEŠENjE
Razmenu	Razmjenu
Razrešava	Razrješava
Reč	Riječ
Rešavajući	Rješavajući
Rešavanje	Rješavanje
Rešenja	Rješenja
Rešenje	Rješenje
Rešenjem	Rješenjem
Samoprocena	Samoprocjena
Samoprocenu	Samoprocjenu
Savestan	Savjestan
Sedište	Sjedište
Sledom	Slijedom
Sledstveno	Sljedstveno
Udela	Udjela
Udeo	Udio
Umesto	Umjesto
Usled	Usljed
Uverenje	Uvjerenje
Verovala	Vjerovala
Veća-Sudija	Vijeća-Sudija
Veštak	Vještak
Veštačenjem	Vještačenjem
Vrednost	Vrijednost
Vrednosti	Vrijednosti
Vreme	Vrijeme
Zahtev	Zahtjev
Zastarelosti	Zastarjelosti
beleg	biljeg
belega	biljega
belegama	biljegama
beleženje	bilježenje
bezbedan	bezbjedan
bezbedno	bezbjedno
bezbednosni	bezbjednosni
bezbednost	bezbjednost
bezbednostan	bezbjednostan
bezbednosti	bezbjednosti
bezbednu	bezbjednu
cel	cijel
cela	cijela
cele	cijele
celi	cijeli
celina	cjelina
celine	cjeline
celini	cjelini
celinu	cjelinu
celishodnost	cjelishodnost
celog	cijelog
celoj	cijeloj
celokupan	cjelokupan
celokupne	cjelokupne
celokupno	cjelokupno
celokupnog	cjelokupnog
celokupnom	cjelokupnom
celom	cijelom
celost	cijelost
celosti	cijelosti
celovit	cjelovit
celovitost	cjelovitost
celu	cijelu
cena	cijena
cenama	cijenama
cene	cijene
ceneći	cijeneći
ceni	cijeni
cenio	cijenio
ceniti	cijeniti
cenom	cijenom
cenovan	cjenovan
cenovne	cjenovne
cenovnika	cjenovnika
cenu	cijenu
ceo	cio
cvetan	cvjetan
cvetnih	cvjetnih
deca	djeca
decac	djecac
dece	djece
deci	djeci
decom	djecom
decu	djecu
deda	djed
del	djel
dela	djela
delatnost	djelatnost
delatnosti	djelatnosti
delatnošcu	djelatnošcu
delijski	dijeljinski
delimičan	djelimičan
delimične	djelimične
delimičnim	djelimičnim
delimično	djelimično
delimičnu	djelimičnu
delo	djelo
delokrug	djelokrug
delokruga	djelokruga
delokrugu	djelokrugu
delom	djelom
delova	dijelova
delovanja	djelovanja
delovanje	djelovanje
delovanjima	djelovanjima
delovati	djelovati
delove	dijelove
delovi	dijelovi
delovima	dijelovima
delu	djelu
deluje	djeluje
deo	dio
deoba	dioba
deobe	diobe
deobi	diobi
deobom	diobom
deobu	diobu
dete	dijete
detet	djetet
deteta	djeteta
detete	djetete
detetom	djetetom
devojci	djevojci
devojka	djevojka
devojke	djevojke
devojkom	djevojkom
dodel	dodjel
dodela	dodjela
dodeli	dodjeli
dodeliti	dodijeliti
dodeljen	dodijeljen
dodeljena	dodijeljena
dodeljene	dodijeljene
dodeljivanja	dodjeljivanja
dodeljivanje	dodjeljivanje
dodeljivanjem	dodjeljivanjem
dodeljivati	dodjeljivati
dole	dolje
donela	donijela
donelo	donijelo
doneo	donio
donet	donesen
doneta	donesena
donete	donesene
doneti	doneseni
donetih	donesenih
donetim	donesenim
doneto	doneseno
donetog	donesenog
donetoj	donesenoj
donetom	donesenom
donešen	donesen
donešenu	donesenu
dosledno	dosljedno
dospele	dospjele
dospeli	dospjeli
dospelih	dospjelih
dospelost	dospjelost
dospelosti	dospjelosti
dospeo	dospio
dospeti	dospjeti
dve	dvije
dvestasedam	dvjestasedam
dvosed	dvosjed
gde	gdje
grejanja	grijanja
grejanje	grijanje
htela	htjela
htele	htjele
hteo	htio
hteti	htjeti
istovetan	istovjetan
istovetna	istovjetna
istovetnih	istovjetnih
izbegavala	izbjegavala
izbegavati	izbjegavati
izbegne	izbjegne
izbegnuti	izbjegnuti
izbeći	izbjeći
izmena	izmjena
izmenama	izmjenama
izmene	izmjene
izmeni	izmjeni
izmenile	izmijenile
izmenili	izmijenili
izmenio	izmijenio
izmeniti	izmijeniti
izmenjen	izmijenjen
izmenjena	izmijenjena
izmenjenom	izmijenjenom
izmenu	izmjenu
iznele	iznijele
izneli	iznijeli
izneo	iznio
iznet	iznijet
izneti	iznijeti
iznetih	iznijetih
iznetim	iznijetim
iznetog	iznijetog
izvesno	izvjesno
izvesnoj	izvjesnoj
izvesnu	izvjesnu
izvestan	izvjestan
izvestiti	izvijestiti
izveštaj	izvještaj
izveštaja	izvještaja
izveštaje	izvještaje
izveštajem	izvještajem
izveštaji	izvještaji
izveštajima	izvještajima
izveštaju	izvještaju
izveštavanja	izvještavanja
izveštavanje	izvještavanje
izveštavati	izvještavati
lek	lijek
lekarske	ljekarske
lekarski	ljekarski
lekarsku	ljekarsku
leku	lijeku
levo	lijevo
maloletan	maloljetan
maloletna	maloljetna
maloletne	maloljetne
maloletnik	maloljetnik
maloletnika	maloljetnika
maloletno	maloljetno
maloletnog	maloljetnog
maloletnu	maloljetnu
menica	mjenica
menice	mjenice
menicu	mjenicu
menični	mjenični
meničnim	mjeničnim
menja	mijenja
menjanje	mijenjanje
menjati	mijenjati
mera	mjera
merama	mjerama
mere	mjere
meri	mjeri
merodavan	mjerodavan
merodavna	mjerodavna
merodavnim	mjerodavnim
merodavno	mjerodavno
meru	mjeru
mesan	mjesan
mesec	mjesec
meseca	mjeseca
mesece	mjesece
meseci	mjeseci
mesecima	mjesecima
mesecu	mjesecu
mesečan	mjesečan
mesečna	mjesečna
mesečne	mjesečne
mesečni	mjesečni
mesečnih	mjesečnih
mesečno	mjesečno
mesečnog	mjesečnog
mesni	mjesni
mesnih	mjesnih
mesta	mjesta
mestan	mjestan
mestima	mjestima
mesto	mjesto
mestom	mjestom
mestu	mjestu
međuvreme	međuvrijeme
meša	miješa
mešanje	miješanje
mešati	miješati
najpre	najprije
namena	namjena
namene	namjene
nameni	namjeni
nameniti	namijeniti
namenjen	namijenjen
namenjena	namijenjena
namenjene	namijenjene
namenjeni	namijenjeni
namenom	namjenom
namenski	namjenski
namenu	namjenu
namera	namjera
namerama	namjerama
nameran	namjeran
namerava	namjerava
